#node1	node2	combined_score
asnO	cwlJ	0.521
asnO	cotJB	0.665
asnO	cotJC	0.625
asnO	spoVR	0.508
asnO	dacF	0.413
asnO	spoVAD	0.446
asnO	gerQ	0.502
asnO	usd	0.502
asnO	spoVFA	0.553
asnO	spoVFB	0.572
asnO	spoIIID	0.594
cotB	gerPF	0.51
cotB	yitA	0.62
cotB	cotZ	0.716
cotB	cotY	0.733
cotB	cotX	0.647
cotB	cotW	0.682
cotB	cotV	0.701
cotB	spoVIF	0.622
cotB	cotT	0.687
cotB	ylbD	0.531
cotB	spoVFA	0.726
cotB	spoVFB	0.731
cotB	yqfQ	0.524
cotB	ytlA	0.532
cotB	ytcA	0.729
cotB	ywrJ	0.905
cotB	spsB	0.591
cotB	cotF	0.731
cotE	yaaC	0.416
cotE	fin	0.764
cotE	yabP	0.587
cotE	yabQ	0.671
cotE	spoIIE	0.746
cotE	yabS	0.573
cotE	yabT	0.448
cotE	gerD	0.775
cotE	cwlJ	0.829
cotE	ydcC	0.78
cotE	cotJA	0.823
cotE	cotJB	0.699
cotE	cotJC	0.727
cotE	yhbB	0.772
cotE	prkA	0.766
cotE	yhbH	0.594
cotE	spoVR	0.675
cotE	yheD	0.757
cotE	cotO	0.69
cotE	cotY	0.513
cotE	spoVIF	0.652
cotE	ylaK	0.501
cotE	ylbD	0.659
cotE	gerR	0.835
cotE	spoVFA	0.588
cotE	spoVFB	0.407
cotE	ymfJ	0.764
cotE	ytrH	0.406
cotE	sigF	0.411
cotE	yqgE	0.437
cotE	spoVAF	0.418
cotE	yqfD	0.473
cotE	glnH	0.501
cotE	spoIIIAG	0.442
cotE	spoIIIAF	0.552
cotE	ypeB	0.526
cotE	yrzR	0.606
cotE	yqhR	0.612
cotE	usd	0.638
cotE	yrzE	0.65
cotE	yqfX	0.678
cotE	ytfJ	0.605
cotE	yqfQ	0.602
cotE	gerM	0.712
cotE	spoIIP	0.706
cotE	spoIVFA	0.708
cotE	ysxE	0.674
cotE	spoIIID	0.79
cotE	spoIIIAH	0.874
cotE	spoIIQ	0.869
cotE	gerQ	0.938
cotE	spoIVA	0.788
cotE	spoVID	0.946
cotF	gerPF	0.634
cotF	gerPE	0.637
cotF	yitA	0.73
cotF	cotZ	0.73
cotF	cotY	0.733
cotF	cotX	0.658
cotF	cotW	0.642
cotF	cotV	0.629
cotF	spoVIF	0.605
cotF	cotT	0.739
cotF	spoVFA	0.733
cotF	spoVFB	0.724
cotF	yqfQ	0.625
cotF	ytlA	0.731
cotF	ytcA	0.731
cotF	putM	0.502
cotF	spsB	0.502
cotJA	gerD	0.506
cotJA	spoIIIAF	0.42
cotJA	glnQ	0.499
cotJA	yodS	0.502
cotJA	cotO	0.517
cotJA	dacF	0.522
cotJA	spoVR	0.522
cotJA	ylaK	0.523
cotJA	glnH	0.54
cotJA	gerR	0.569
cotJA	ytfJ	0.611
cotJA	spoIVA	0.502
cotJA	prkA	0.682
cotJA	spoIIID	0.685
cotJA	usd	0.705
cotJA	yhbB	0.571
cotJA	spoVID	0.658
cotJA	gerQ	0.729
cotJA	ysxE	0.82
cotJA	yheD	0.8
cotJA	cotJC	0.99
cotJA	cotJB	0.991
cotJB	spoIVB	0.403
cotJB	spoIIIAE	0.412
cotJB	spoIIIAG	0.414
cotJB	spoVAA	0.42
cotJB	gpr	0.427
cotJB	tepA	0.429
cotJB	spoVAEB	0.429
cotJB	spoVAB	0.495
cotJB	dacF	0.505
cotJB	ylaK	0.508
cotJB	ylmC	0.508
cotJB	spoIIAB	0.494
cotJB	glnH	0.524
cotJB	spoVAC	0.52
cotJB	spoIIGA	0.476
cotJB	spoVAD	0.562
cotJB	yhbB	0.409
cotJB	spoVR	0.619
cotJB	prkA	0.624
cotJB	spoVID	0.51
cotJB	ysxE	0.602
cotJB	usd	0.709
cotJB	yheD	0.619
cotJB	spoIVA	0.557
cotJB	spoIIID	0.796
cotJB	gerQ	0.73
cotJB	cotJC	0.995
cotJC	spoVAEB	0.483
cotJC	sigE	0.413
cotJC	cotO	0.51
cotJC	ylaK	0.514
cotJC	ytfJ	0.523
cotJC	yodS	0.528
cotJC	spoIIAB	0.54
cotJC	spoVAC	0.589
cotJC	glnH	0.599
cotJC	dacF	0.612
cotJC	prkA	0.62
cotJC	spoVAD	0.62
cotJC	spoVR	0.618
cotJC	usd	0.729
cotJC	spoVID	0.502
cotJC	yheD	0.619
cotJC	ysxE	0.643
cotJC	spoIIID	0.783
cotJC	spoIVA	0.659
cotJC	gerQ	0.73
cotO	prkA	0.621
cotO	spoVR	0.514
cotO	ysxE	0.502
cotO	spoIIIAH	0.502
cotO	ylaK	0.531
cotO	spoIIQ	0.539
cotO	gerR	0.583
cotO	spoVID	0.624
cotO	gerQ	0.625
cotO	spoIVA	0.687
cotT	gerPF	0.642
cotT	gerPE	0.619
cotT	yitA	0.623
cotT	cotZ	0.729
cotT	cotY	0.737
cotT	cotX	0.715
cotT	cotW	0.715
cotT	cotV	0.731
cotT	spoVIF	0.636
cotT	ylbD	0.402
cotT	spsB	0.502
cotT	yqfX	0.502
cotT	ytlA	0.605
cotT	yqfQ	0.623
cotT	spoVFB	0.632
cotT	ytcA	0.718
cotT	spoVFA	0.731
cotV	gerPF	0.502
cotV	gerPE	0.499
cotV	yitA	0.503
cotV	cotZ	0.786
cotV	cotY	0.93
cotV	cotX	0.962
cotV	cotW	0.985
cotV	spsE	0.501
cotV	yqfQ	0.605
cotV	ytcA	0.627
cotV	spoVFB	0.673
cotV	spsB	0.621
cotV	spoVFA	0.731
cotV	spoVIF	0.83
cotW	gerPF	0.501
cotW	gerPE	0.501
cotW	yitA	0.519
cotW	cotZ	0.792
cotW	cotY	0.937
cotW	cotX	0.973
cotW	spsE	0.467
cotW	yqfQ	0.601
cotW	ytcA	0.63
cotW	spsB	0.623
cotW	spoVFB	0.702
cotW	spoVFA	0.73
cotW	spoVIF	0.798
cotX	gerPF	0.508
cotX	yitA	0.525
cotX	cotZ	0.909
cotX	cotY	0.973
cotX	spsE	0.501
cotX	ytcA	0.63
cotX	yqfQ	0.609
cotX	spoVFB	0.625
cotX	spoVFA	0.727
cotX	spsB	0.621
cotX	spoVIF	0.924
cotY	gerPF	0.526
cotY	gerPE	0.502
cotY	yitA	0.62
cotY	cotZ	0.98
cotY	spsE	0.408
cotY	yqfX	0.501
cotY	yqfQ	0.619
cotY	spoVFB	0.684
cotY	ytcA	0.724
cotY	spoVFA	0.733
cotY	spsB	0.611
cotY	spoVIF	0.771
cotY	gerQ	0.532
cotZ	gerPF	0.533
cotZ	yitA	0.618
cotZ	yqfX	0.499
cotZ	yqfQ	0.525
cotZ	ytcA	0.642
cotZ	spsB	0.511
cotZ	spoVFB	0.694
cotZ	spoVFA	0.716
cotZ	spoVIF	0.77
cwlJ	fin	0.673
cwlJ	yabP	0.671
cwlJ	gerD	0.601
cwlJ	yfkR	0.433
cwlJ	yndD	0.439
cwlJ	ytfJ	0.428
cwlJ	gerM	0.407
cwlJ	yqfD	0.452
cwlJ	spoVFA	0.459
cwlJ	spoIIQ	0.455
cwlJ	spoVFB	0.536
cwlJ	spoIVFA	0.467
cwlJ	spoIVB	0.566
cwlJ	spoIIIAH	0.563
cwlJ	spoIIID	0.465
cwlJ	gpr	0.477
cwlJ	yhbB	0.585
cwlJ	spoVAD	0.453
cwlJ	spoVID	0.545
cwlJ	spoVAEB	0.576
cwlJ	spoVAF	0.55
cwlJ	gerR	0.739
cwlJ	ydcC	0.768
cwlJ	spoIIP	0.709
cwlJ	spoIVA	0.514
cwlJ	spoVAC	0.626
cwlJ	ypeB	0.642
cwlJ	gerQ	0.944
dacF	yabP	0.458
dacF	sigE	0.425
dacF	sigG	0.481
dacF	yodS	0.624
dacF	spoIVA	0.566
dacF	spoVAF	0.568
dacF	spoVAEA	0.42
dacF	spoVAEB	0.638
dacF	spoVAD	0.699
dacF	spoVAC	0.66
dacF	spoVAB	0.454
dacF	spoVAA	0.473
dacF	sigF	0.768
dacF	spoIIAB	0.755
dacF	spoIIAA	0.665
dacF	spoIIQ	0.499
dacF	lonB	0.519
dacF	usd	0.525
dacF	ytfI	0.53
dacF	ysxE	0.587
dacF	spoIVB	0.558
dacF	spoIIID	0.609
dacF	ytfJ	0.71
dacF	gpr	0.643
dacF	spoIIP	0.604
dgkA	yqeZ	0.452
dgkA	yqfA	0.473
dgkA	yqfB	0.502
dgkA	yqfC	0.592
dgkA	yqfD	0.618
dgkA	phoH	0.684
dgkA	yqfF	0.866
fin	yaaC	0.76
fin	sspF	0.441
fin	pth	0.921
fin	spoVAA	0.404
fin	spoVAB	0.42
fin	ypeB	0.422
fin	spoIIIAG	0.436
fin	yqzD	0.44
fin	yhbH	0.441
fin	mecB	0.441
fin	yheD	0.449
fin	ylaJ	0.47
fin	yabP	0.492
fin	ysxE	0.493
fin	ymfJ	0.497
fin	spoVT	0.511
fin	spoIIQ	0.428
fin	yabT	0.513
fin	ytfI	0.53
fin	ytrI	0.53
fin	yutH	0.552
fin	ytrH	0.553
fin	yabS	0.599
fin	yqfD	0.608
fin	spoIIIAF	0.63
fin	yrzR	0.648
fin	spoIIE	0.686
fin	spoIVFA	0.704
fin	yqfX	0.716
fin	yqhR	0.72
fin	yrzE	0.724
fin	spoIIP	0.731
fin	gerQ	0.733
fin	gerD	0.745
fin	ydcC	0.748
fin	yqgE	0.752
fin	gerM	0.758
fin	yhbB	0.764
fin	spoVID	0.756
fin	gerR	0.769
fin	yabQ	0.806
gerAA	spoVT	0.774
gerAA	yabP	0.767
gerAA	spoIIE	0.446
gerAA	yfkT	0.762
gerAA	yfkR	0.78
gerAA	ylbJ	0.729
gerAA	spoIIGA	0.5
gerAA	sigE	0.774
gerAA	sigG	0.773
gerAA	ylmC	0.746
gerAA	spoVFB	0.57
gerAA	tepA	0.647
gerAA	spoIVA	0.772
gerAA	spoVAEB	0.805
gerAA	spoVAD	0.808
gerAA	spoVAC	0.834
gerAA	sigF	0.67
gerAA	spoIIAB	0.754
gerAA	spoIVB	0.782
gerAA	spoIIIAG	0.576
gerAA	spoIIIAE	0.708
gerAA	spoIIIAD	0.739
gerAA	spoIIIAB	0.652
gerAA	spoIIIAA	0.724
gerAA	yqfD	0.727
gerAA	yqfC	0.677
gerAA	spoIIP	0.422
gerAA	gpr	0.838
gerAA	ytfJ	0.619
gerAA	ythA	0.501
gerAA	gerBA	0.585
gerAA	yyaC	0.663
gerAA	spoIIID	0.772
gerAA	spoIIR	0.775
gerAA	gerBB	0.765
gerAA	gerBC	0.789
gerAA	gerAB	0.976
gerAA	gerAC	0.96
gerAB	sspF	0.443
gerAB	gerKA	0.706
gerAB	yfkR	0.727
gerAB	yfkQ	0.715
gerAB	yhcN	0.406
gerAB	ylbJ	0.478
gerAB	yndD	0.784
gerAB	spoIIM	0.531
gerAB	spoIVB	0.485
gerAB	spoIIIAE	0.6
gerAB	spoIIIAD	0.552
gerAB	spoIIIAB	0.544
gerAB	yqfC	0.694
gerAB	gpr	0.519
gerAB	yyaC	0.605
gerAB	gerBA	0.801
gerAB	gerBC	0.806
gerAB	gerAC	0.967
gerAC	sspF	0.567
gerAC	spoVT	0.416
gerAC	gerKA	0.77
gerAC	yfkT	0.779
gerAC	yfkQ	0.779
gerAC	ylbJ	0.584
gerAC	yndD	0.786
gerAC	ypeB	0.404
gerAC	spoVAF	0.41
gerAC	spoIIM	0.591
gerAC	spoIVB	0.63
gerAC	spoIIIAE	0.628
gerAC	spoIIIAD	0.559
gerAC	spoIIIAB	0.527
gerAC	yqfC	0.718
gerAC	gpr	0.554
gerAC	lonB	0.428
gerAC	ytxC	0.478
gerAC	ytaF	0.402
gerAC	ytfJ	0.55
gerAC	spoIIR	0.445
gerAC	yyaC	0.479
gerAC	gerBB	0.792
gerAC	gerBA	0.8
gerBA	spoVT	0.774
gerBA	yabP	0.764
gerBA	spoIIE	0.439
gerBA	ydfR	0.538
gerBA	yfkT	0.767
gerBA	yfkR	0.795
gerBA	ylbJ	0.702
gerBA	spoIIGA	0.507
gerBA	sigE	0.773
gerBA	sigG	0.772
gerBA	ylmC	0.744
gerBA	spoVFB	0.568
gerBA	tepA	0.666
gerBA	spoIVA	0.771
gerBA	spoVAEB	0.835
gerBA	spoVAD	0.887
gerBA	spoVAC	0.886
gerBA	spoVAB	0.506
gerBA	sigF	0.65
gerBA	spoIIAB	0.746
gerBA	spoIIM	0.42
gerBA	spoIVB	0.782
gerBA	spoIIIAG	0.557
gerBA	spoIIIAE	0.703
gerBA	spoIIIAD	0.739
gerBA	spoIIIAB	0.642
gerBA	spoIIIAA	0.721
gerBA	yqfD	0.722
gerBA	yqfC	0.661
gerBA	spoIIP	0.453
gerBA	gpr	0.812
gerBA	ytfJ	0.662
gerBA	ythA	0.502
gerBA	yyaC	0.655
gerBA	spoIIR	0.776
gerBA	spoIIID	0.776
gerBA	gerBC	0.96
gerBA	gerBB	0.958
gerBB	sspF	0.575
gerBB	gerKA	0.735
gerBB	yfkT	0.764
gerBB	yfkR	0.749
gerBB	yfkQ	0.708
gerBB	yhcN	0.431
gerBB	ylbJ	0.519
gerBB	yndD	0.782
gerBB	ypeB	0.42
gerBB	spoIIM	0.614
gerBB	spoIVB	0.498
gerBB	spoIIIAF	0.519
gerBB	spoIIIAE	0.633
gerBB	spoIIIAD	0.55
gerBB	spoIIIAB	0.591
gerBB	yqfC	0.71
gerBB	gpr	0.539
gerBB	ytxC	0.403
gerBB	spoIIR	0.405
gerBB	yyaC	0.605
gerBB	gerBC	0.956
gerBC	sspF	0.523
gerBC	spoVT	0.568
gerBC	gerKA	0.786
gerBC	yfkT	0.792
gerBC	yfkQ	0.784
gerBC	ylbJ	0.535
gerBC	sigE	0.462
gerBC	sigG	0.475
gerBC	yndD	0.794
gerBC	ypeB	0.448
gerBC	spoVAF	0.572
gerBC	spoVAD	0.442
gerBC	spoIIM	0.51
gerBC	spoIVB	0.687
gerBC	spoIIIAE	0.611
gerBC	spoIIIAD	0.578
gerBC	spoIIIAB	0.465
gerBC	yqfC	0.656
gerBC	gpr	0.56
gerBC	ytxC	0.478
gerBC	ytaF	0.521
gerBC	ytfJ	0.598
gerBC	yyaC	0.406
gerBC	spoIIR	0.481
gerD	yaaC	0.525
gerD	sspF	0.431
gerD	yabQ	0.741
gerD	spoIIE	0.757
gerD	yabS	0.616
gerD	yabT	0.566
gerD	spoVAB	0.408
gerD	ytrI	0.426
gerD	mecB	0.475
gerD	spoIIIAG	0.479
gerD	yqgE	0.484
gerD	yqfD	0.49
gerD	yrzR	0.513
gerD	ypeB	0.582
gerD	spoIIQ	0.593
gerD	gerM	0.618
gerD	spoIVFA	0.623
gerD	spoIIIAF	0.637
gerD	spoIIP	0.643
gerD	yqhR	0.653
gerD	ymfJ	0.691
gerD	yrzE	0.699
gerD	yqfX	0.718
gerD	yqfQ	0.747
gerD	spoVIF	0.747
gerD	spoVID	0.755
gerD	spoIIIAH	0.762
gerD	yhbB	0.762
gerD	gerQ	0.765
gerD	ydcC	0.775
gerD	gerR	0.776
gerKA	spoVT	0.774
gerKA	yabP	0.758
gerKA	spoIIE	0.457
gerKA	spoIIM	0.448
gerKA	spoIIP	0.454
gerKA	spoIIGA	0.521
gerKA	spoIIIAG	0.543
gerKA	yyaC	0.564
gerKA	yqfC	0.573
gerKA	spoIIIAB	0.61
gerKA	tepA	0.612
gerKA	ytfJ	0.624
gerKA	spoVFB	0.626
gerKA	sigF	0.652
gerKA	spoIIIAA	0.697
gerKA	spoIIIAE	0.699
gerKA	ylbJ	0.696
gerKA	yqfD	0.695
gerKA	spoIIIAD	0.734
gerKA	ylmC	0.75
gerKA	spoIIAB	0.734
gerKA	sigG	0.769
gerKA	spoIVA	0.771
gerKA	sigE	0.772
gerKA	spoIVB	0.778
gerKA	spoIIID	0.765
gerKA	spoIIR	0.771
gerKA	gpr	0.781
gerKA	spoVAEB	0.773
gerKA	yfkR	0.782
gerKA	yfkT	0.776
gerKA	spoVAC	0.783
gerKA	spoVAD	0.783
gerM	yaaC	0.76
gerM	yabQ	0.747
gerM	spoIIE	0.759
gerM	yabS	0.808
gerM	yabT	0.771
gerM	ydcC	0.767
gerM	yhbB	0.747
gerM	yhbH	0.599
gerM	spoVR	0.415
gerM	ylaJ	0.436
gerM	ylaK	0.438
gerM	ylbD	0.7
gerM	ylbJ	0.463
gerM	gerR	0.661
gerM	spoIIGA	0.74
gerM	ypeB	0.747
gerM	spoVAB	0.549
gerM	spoVAA	0.517
gerM	spoIIM	0.734
gerM	spoIVB	0.404
gerM	spoIIIAH	0.804
gerM	spoIIIAG	0.753
gerM	spoIIIAF	0.838
gerM	spoIIIAE	0.709
gerM	spoIIIAD	0.446
gerM	spoIIIAB	0.819
gerM	yqhR	0.738
gerM	yqgE	0.732
gerM	yqfX	0.731
gerM	yqfQ	0.517
gerM	yqfD	0.752
gerM	yqfC	0.599
gerM	spoIIP	0.766
gerM	gpr	0.404
gerM	yrzR	0.704
gerM	yrzE	0.756
gerM	spoIVFA	0.764
gerM	ysxE	0.859
gerM	spoVID	0.829
gerM	ytxC	0.422
gerM	ytaF	0.549
gerM	spoIIQ	0.574
gerM	ytrH	0.613
gerM	gerQ	0.649
gerM	ytrI	0.682
gerM	ytfI	0.722
gerM	yutH	0.755
gerPE	gerPF	0.917
gerPE	yqfQ	0.499
gerPE	spoVFB	0.529
gerPE	spoVFA	0.619
gerPE	ytcA	0.621
gerPE	yitA	0.621
gerPE	ytlA	0.642
gerPF	yqfQ	0.502
gerPF	ytlA	0.515
gerPF	yitA	0.516
gerPF	spoVFB	0.609
gerPF	spoVFA	0.62
gerPF	ytcA	0.621
gerQ	yabP	0.566
gerQ	yabQ	0.55
gerQ	spoIIE	0.628
gerQ	yabS	0.558
gerQ	ydcC	0.783
gerQ	yhbB	0.691
gerQ	prkA	0.705
gerQ	yhbH	0.457
gerQ	spoVR	0.701
gerQ	yheD	0.649
gerQ	spoVIF	0.501
gerQ	ylaK	0.543
gerQ	ylbD	0.614
gerQ	gerR	0.804
gerQ	spoVFA	0.435
gerQ	ymfJ	0.583
gerQ	spoIVA	0.734
gerQ	ypeB	0.47
gerQ	spoVAF	0.547
gerQ	spoVAC	0.416
gerQ	spoVAB	0.422
gerQ	spoIVB	0.435
gerQ	spoIIIAH	0.738
gerQ	spoIIIAF	0.403
gerQ	yqhR	0.638
gerQ	yqgE	0.431
gerQ	yqfX	0.609
gerQ	spoIIP	0.724
gerQ	glnH	0.516
gerQ	yrzR	0.524
gerQ	yrzE	0.679
gerQ	spoIVFA	0.696
gerQ	ysxE	0.625
gerQ	spoVID	0.872
gerQ	ytrH	0.41
gerQ	ytfJ	0.483
gerQ	spoIIID	0.731
gerQ	usd	0.669
gerQ	spoIIQ	0.816
gerQ	spsB	0.414
gerR	sspF	0.485
gerR	yabQ	0.722
gerR	spoIIE	0.789
gerR	yabS	0.772
gerR	yabT	0.556
gerR	ydcC	0.789
gerR	yhbB	0.788
gerR	prkA	0.508
gerR	spoVR	0.447
gerR	yheD	0.516
gerR	ylaK	0.583
gerR	spoVAB	0.405
gerR	spoIIIAE	0.423
gerR	ytrH	0.426
gerR	yqgE	0.489
gerR	ytfI	0.498
gerR	ysxE	0.515
gerR	yqfD	0.482
gerR	spoIIIAG	0.525
gerR	ypeB	0.561
gerR	yqhR	0.577
gerR	yqfX	0.597
gerR	yrzR	0.61
gerR	ymfJ	0.637
gerR	mecB	0.652
gerR	spoIIIAF	0.628
gerR	yrzE	0.691
gerR	spoIIP	0.645
gerR	spoIVA	0.584
gerR	spoIVFA	0.73
gerR	spoIIQ	0.782
gerR	spoIIIAH	0.801
gerR	spoVID	0.874
gerR	spoIIID	0.498
glgA	prkA	0.73
glgA	spoIIGA	0.502
glgA	sigE	0.517
glgA	glgB	0.999
glgA	glgC	0.999
glgB	yaaC	0.547
glgB	yabS	0.599
glgB	prkA	0.518
glgB	spoVR	0.499
glgB	ylaK	0.502
glgB	spoIIGA	0.605
glgB	sigE	0.62
glgB	sigG	0.621
glgB	spoVID	0.502
glgB	glgC	0.999
glgB	ywcI	0.521
glgC	spoIIE	0.501
glgC	yabS	0.619
glgC	yabT	0.514
glgC	prkA	0.562
glgC	spoVR	0.563
glgC	ylaK	0.555
glgC	spoIIGA	0.65
glgC	sigE	0.641
glgC	sigG	0.622
glgC	spoIIAB	0.502
glgC	spoIIIAB	0.501
glgC	ywcI	0.501
glnH	prkA	0.516
glnH	yhbH	0.518
glnH	spoVR	0.568
glnH	ylaK	0.511
glnH	yodS	0.501
glnH	glnQ	0.998
glnH	ysxE	0.516
glnH	spoIIID	0.526
glnH	usd	0.533
glnQ	prkA	0.512
glnQ	yhbH	0.434
glnQ	spoVR	0.615
glnQ	ylaK	0.517
glnQ	yodS	0.501
glnQ	usd	0.516
gpr	spoVT	0.783
gpr	yabP	0.774
gpr	spoIIE	0.769
gpr	yabS	0.415
gpr	yabT	0.414
gpr	ydcC	0.565
gpr	yfkT	0.431
gpr	yfkR	0.56
gpr	yfkQ	0.777
gpr	ylbJ	0.775
gpr	spoIIGA	0.759
gpr	sigE	0.792
gpr	sigG	0.781
gpr	ylmC	0.77
gpr	ymxH	0.654
gpr	tepA	0.756
gpr	yndD	0.783
gpr	spoIVA	0.795
gpr	ypeB	0.541
gpr	spoVAF	0.8
gpr	spoVAEB	0.805
gpr	spoVAD	0.889
gpr	spoVAC	0.883
gpr	spoVAB	0.536
gpr	sigF	0.739
gpr	spoIIAB	0.785
gpr	spoIIAA	0.51
gpr	spoIIM	0.643
gpr	spoIVB	0.813
gpr	spoIIIAH	0.465
gpr	spoIIIAG	0.768
gpr	spoIIIAF	0.549
gpr	spoIIIAE	0.794
gpr	spoIIIAD	0.79
gpr	spoIIIAB	0.774
gpr	spoIIIAA	0.767
gpr	yqhR	0.436
gpr	yqfD	0.772
gpr	yqfC	0.729
gpr	spoIIP	0.945
gpr	spoIVFA	0.413
gpr	ytrH	0.447
gpr	lonB	0.454
gpr	ytlA	0.566
gpr	ytaF	0.604
gpr	ytfI	0.607
